,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
267,baykit,68.0,RU,2019-01-13,43.0,61.68,96.39,-28.39,2.73
268,santa maria da vitoria,64.0,BR,2019-01-13,41.0,-13.39,-44.19,86.59,7.43
269,quatre cocos,40.0,MU,2019-01-13,74.0,-20.21,57.76,78.8,11.41
270,diego de almagro,0.0,CL,2019-01-13,41.0,-26.39,-70.05,75.34,4.74
271,mwinilunga,92.0,ZM,2019-01-13,100.0,-11.73,24.43,62.25,3.29
272,ponta delgada,20.0,PT,2019-01-13,77.0,37.73,-25.67,59.0,9.17
273,ugoofaaru,48.0,MV,2019-01-13,100.0,5.67,73.0,82.09,11.79
274,carutapera,88.0,BR,2019-01-13,85.0,-1.2,-46.02,80.56,7.2
275,whyalla,0.0,AU,2019-01-13,88.0,-33.04,137.58,68.0,6.93
276,walvis bay,68.0,NA,2019-01-13,82.0,-22.95,14.51,66.2,6.93
277,avera,90.0,US,2019-01-13,90.0,33.19,-82.53,46.94,5.82
278,coihaique,0.0,CL,2019-01-13,26.0,-45.58,-72.07,78.8,5.82
279,salalah,20.0,OM,2019-01-13,73.0,17.01,54.1,73.4,2.24
280,vila velha,75.0,BR,2019-01-13,83.0,-3.71,-38.6,82.4,5.82
281,cockburn town,8.0,TC,2019-01-13,98.0,21.46,-71.14,79.17,16.26
282,zhezkazgan,68.0,KZ,2019-01-13,84.0,47.8,67.71,17.65,15.48
283,luanda,40.0,AO,2019-01-13,83.0,-8.83,13.24,78.8,6.93
284,makat,88.0,KZ,2019-01-13,88.0,47.65,53.35,28.99,2.95
285,bubaque,0.0,GW,2019-01-13,89.0,11.28,-15.83,82.95,7.2
286,coquimbo,20.0,CL,2019-01-13,56.0,-29.95,-71.34,69.8,13.87
287,maceio,40.0,BR,2019-01-13,78.0,-9.67,-35.74,78.8,13.87
288,andros town,40.0,BS,2019-01-13,61.0,24.73,-77.79,77.0,11.41
289,sena madureira,80.0,BR,2019-01-13,92.0,-9.07,-68.66,77.68,2.06
290,homa bay,0.0,KE,2019-01-13,68.0,-0.53,34.45,71.6,6.53
291,esperance,20.0,TT,2019-01-13,61.0,10.24,-61.45,82.4,11.41
292,ketchikan,90.0,US,2019-01-13,89.0,55.34,-131.65,48.92,26.4
293,kieta,48.0,PG,2019-01-13,100.0,-6.22,155.63,79.12,3.96
294,rorvik,75.0,NO,2019-01-13,74.0,64.86,11.24,28.4,4.7
295,nome,1.0,US,2019-01-13,45.0,30.04,-94.42,59.0,12.75
296,thompson,20.0,CA,2019-01-13,72.0,55.74,-97.86,15.8,10.29
297,marsa matruh,64.0,EG,2019-01-13,82.0,31.35,27.25,53.29,16.37
298,gizo,75.0,IL,2019-01-13,58.0,31.8,34.94,59.0,12.75
299,torbay,90.0,CA,2019-01-13,73.0,47.66,-52.73,26.6,19.46
300,cherskiy,20.0,RU,2019-01-13,48.0,68.75,161.3,-29.24,2.62
301,samarai,68.0,PG,2019-01-13,100.0,-10.62,150.67,81.42,11.79
302,hasaki,20.0,JP,2019-01-13,100.0,35.73,140.83,32.0,9.17
303,padang,56.0,ID,2019-01-13,100.0,-0.92,100.36,77.77,6.87
304,qasigiannguit,0.0,GL,2019-01-13,64.0,68.82,-51.19,-0.41,10.29
305,prince rupert,90.0,CA,2019-01-13,76.0,54.32,-130.32,50.0,12.75
306,petropavlovsk-kamchatskiy,20.0,RU,2019-01-13,77.0,53.05,158.65,5.0,11.18
307,atambua,92.0,ID,2019-01-13,100.0,-9.11,124.89,75.97,3.4
308,beringovskiy,24.0,RU,2019-01-13,90.0,63.05,179.32,-10.79,30.13
309,porto novo,75.0,BR,2019-01-13,73.0,-23.68,-45.44,75.2,6.93
310,taunggyi,12.0,MM,2019-01-13,83.0,20.78,97.03,42.13,1.95
311,tsaratanana,8.0,MG,2019-01-13,95.0,-16.8,47.65,69.49,1.61
312,geraldton,90.0,CA,2019-01-13,79.0,49.72,-86.95,26.6,11.41
313,pangkalanbuun,92.0,ID,2019-01-13,99.0,-2.68,111.62,72.87,3.18
314,kaili,88.0,ID,2019-01-13,94.0,-3.46,120.21,71.47,2.39
315,payakumbuh,92.0,ID,2019-01-13,96.0,-0.23,100.63,69.49,2.62
316,tuatapere,88.0,NZ,2019-01-13,100.0,-46.13,167.69,53.07,8.77
317,fuyang,64.0,CN,2019-01-13,72.0,32.89,115.81,28.5,5.75
318,woonsocket,1.0,US,2019-01-13,59.0,42.0,-71.51,26.96,8.05
319,havelock,90.0,US,2019-01-13,100.0,34.88,-76.9,50.0,10.29
320,maxixe,8.0,MZ,2019-01-13,97.0,-23.86,35.35,80.74,8.43
321,abrau-dyurso,20.0,RU,2019-01-13,98.0,44.7,37.6,32.0,8.95
322,dolores,92.0,UY,2019-01-13,99.0,-33.53,-58.22,71.92,5.19
323,padilla,40.0,CO,2019-01-13,51.0,3.23,-76.31,82.4,4.7
324,ancud,0.0,CL,2019-01-13,52.0,-41.87,-73.83,64.4,8.05
325,vagamo,44.0,NO,2019-01-13,65.0,61.88,9.1,16.62,7.65
326,ostroh,92.0,UA,2019-01-13,96.0,50.33,26.52,33.49,15.03
327,kavieng,48.0,PG,2019-01-13,100.0,-2.57,150.8,83.44,12.24
